ヨ [U+30E8]
ラ [U+30E9]
リ [U+30EA]
ル [U+30EB]
レ [U+30EC]
ロ [U+30ED]
ヮ [U+30EE]
ワ [U+30EF]
ヰ [U+30F0]
ヱ [U+30F1]
ヲ [U+30F2]
ン [U+30F3]
ヵ [U+30F5]
ヶ [U+30F6]
ー [U+30FC]
ヽ [U+30FD]
ヾ [U+30FE]
ヿ [U+30FF]
ㇰ [U+31F0]
ㇱ [U+31F1]
ㇲ [U+31F2]
ㇳ [U+31F3]
ㇴ [U+31F4]
ㇵ [U+31F5]
ㇶ [U+31F6]
ㇷ [U+31F7]
ㇸ [U+31F8]
ㇹ [U+31F9]
ㇺ [U+31FA]
ㇻ [U+31FB]
ㇼ [U+31FC]
ㇽ [U+31FD]
ㇾ [U+31FE]
ㇿ [U+31FF]
一 [U+4E00]
丁 [U+4E01]
七 [U+4E03]
万 [U+4E07]
丈 [U+4E08]
三 [U+4E09]
上 [U+4E0A]
下 [U+4E0B]
不 [U+4E0D]
与 [U+4E0E]
丑 [U+4E11]
专 [U+4E13]
且 [U+4E14]
世 [U+4E16]
丘 [U+4E18]
丙 [U+4E19]
业 [U+4E1A]
丛 [U+4E1B]
东 [U+4E1C]
丝 [U+4E1D]
丟 [U+4E1F]
両 [U+4E21]
丢 [U+4E22]
两 [U+4E24]
严 [U+4E25]
並 [U+4E26]
丧 [U+4E27]
个 [U+4E2A]
丫 [U+4E2B]
中 [U+4E2D]
丰 [U+4E30]
串 [U+4E32]
临 [U+4E34]
丸 [U+4E38]
丹 [U+4E39]
为 [U+4E3A]
主 [U+4E3B]
丽 [U+4E3D]
举 [U+4E3E]
乃 [U+4E43]
久 [U+4E45]
么 [U+4E48]
义 [U+4E49]
之 [U+4E4B]
乌 [U+4E4C]
乍 [U+4E4D]
乎 [U+4E4E]
乏 [U+4E4F]
乐 [U+4E50]
乒 [U+4E52]
乓 [U+4E53]
乔 [U+4E54]
乖 [U+4E56]
乗 [U+4E57]
乘 [U+4E58]
乙 [U+4E59]
九 [U+4E5D]
乞 [U+4E5E]
也 [U+4E5F]
习 [U+4E60]
乡 [U+4E61]
书 [U+4E66]
买 [U+4E70]
乱 [U+4E71]
乳 [U+4E73]
乾 [U+4E7E]
亂 [U+4E82]
了 [U+4E86]
予 [U+4E88]
争 [U+4E89]
事 [U+4E8B]
二 [U+4E8C]
于 [U+4E8E]
亏 [U+4E8F]
云 [U+4E91]
互 [U+4E92]
五 [U+4E94]
井 [U+4E95]
亚 [U+4E9A]
些 [U+4E9B]
亞 [U+4E9E]
亡 [U+4EA1]
亢 [U+4EA2]
交 [U+4EA4]
亥 [U+4EA5]
亦 [U+4EA6]
产 [U+4EA7]
亨 [U+4EA8]
亩 [U+4EA9]
享 [U+4EAB]
京 [U+4EAC]
亭 [U+4EAD]
亮 [U+4EAE]
亲 [U+4EB2]
人 [U+4EBA]
亿 [U+4EBF]
什 [U+4EC0]
仁 [U+4EC1]
仅 [U+4EC5]
仆 [U+4EC6]
仇 [U+4EC7]
今 [U+4ECA]
介 [U+4ECB]
仍 [U+4ECD]
从 [U+4ECE]
仑 [U+4ED1]
仓 [U+4ED3]
仔 [U+4ED4]
仕 [U+4ED5]
他 [U+4ED6]
仗 [U+4ED7]
付 [U+4ED8]
仙 [U+4ED9]
仟 [U+4EDF]
代 [U+4EE3]
令 [U+4EE4]
以 [U+4EE5]
仪 [U+4EEA]
们 [U+4EEC]
仰 [U+4EF0]
仲 [U+4EF2]
件 [U+4EF6]
价 [U+4EF7]
任 [U+4EFB]
份 [U+4EFD]
仿 [U+4EFF]
企 [U+4F01]
伊 [U+4F0A]
伍 [U+4F0D]
伎 [U+4F0E]
伏 [U+4F0F]
伐 [U+4F10]
休 [U+4F11]
众 [U+4F17]
优 [U+4F18]
伙 [U+4F19]
会 [U+4F1A]
伝 [U+4F1D]
伞 [U+4F1E]
伟 [U+4F1F]
传 [U+4F20]
伤 [U+4F24]
伦 [U+4F26]
伪 [U+4F2A]
伯 [U+4F2F]
估 [U+4F30]
伴 [U+4F34]
伶 [U+4F36]
伸 [U+4F38]
伺 [U+4F3A]
似 [U+4F3C]
佃 [U+4F43]
但 [U+4F46]
位 [U+4F4D]
低 [U+4F4E]
住 [U+4F4F]
佐 [U+4F50]
佑 [U+4F51]
体 [U+4F53]
何 [U+4F55]
余 [U+4F59]
佛 [U+4F5B]
作 [U+4F5C]
你 [U+4F60]
佣 [U+4F63]
佩 [U+4F69]
佬 [U+4F6C]
佯 [U+4F6F]
佰 [U+4F70]
佳 [U+4F73]
使 [U+4F7F]
侄 [U+4F84]
來 [U+4F86]
侈 [U+4F88]
例 [U+4F8B]
侍 [U+4F8D]
侖 [U+4F96]
侗 [U+4F97]
供 [U+4F9B]
依 [U+4F9D]
侠 [U+4FA0]
価 [U+4FA1]
侣 [U+4FA3]
侥 [U+4FA5]
侦 [U+4FA6]
侧 [U+4FA7]
侨 [U+4FA8]
